TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
600,0,0,0.1
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
595,0,0,0
595,0,0,0
590,0,0,0.1
590,0,0,0
590,0.1,0.1,0
590,0,0.1,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0.1,0
590,0.1,0.1,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0.2,0,0.1
590,0.2,0.1,0.1
590,0.3,0.2,0.1
590,0.1,0.1,0.2
590,0.9,0.1,1
590,0.2,0.2,0.1
590,0.2,0.2,0
590,0.1,0.3,0
590,0,0.1,0
615,0,0.1,0
630,0.1,0.1,0.1
630,0.2,0.3,0.2
630,0.1,0.1,0.1
625,0.1,0.2,0.1
625,0.1,0.3,0.1
615,0.1,0.2,0.1
610,0.2,0.3,0.2
605,0.4,0.8,0
600,0.3,0.7,0.2
595,0.4,0.6,0.2
595,0.3,0.2,0.1
595,0.1,0.2,0.1
590,0.1,0.1,0
590,0.1,0,0.1
590,0.3,0.1,0.4
600,0.2,0.2,0.2
600,0.2,0.1,0.2
600,0.1,0.1,0.1
600,1.5,2.3,0.5
600,0.8,0.3,1.3
600,0.9,0.5,0.9
600,0.7,1.4,0.5
600,0.3,0.9,0.2
600,0.1,0.6,0.1
600,0,0.3,0
600,0,0.1,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
590,0,0,0
590,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0.8,1.3,0.1
580,0.4,1.2,0.1
580,0.1,0.5,0
590,0,0.3,0
590,0,0.1,0
590,0,0.1,0
600,0,0.1,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
